task_prob,max_delay,quantum_avg_delay,classical_avg_delay,hamiltonian_avg_delay
0.1,10,1.4028073443320916,1.211379934320756,1.1954521205654842
0.1,15,1.2415875754961174,1.191747088186356,1.256250414483719
0.1,20,1.1933163298672422,1.2643238610140437,1.242670244884267
0.15,10,1.212242005492072,1.689577818654942,1.207583318481554
0.15,15,1.2827442827442828,1.2069891270302922,1.2096229099964426
0.15,20,1.2527056518059947,1.207835705786435,1.2175872735307114
0.18,10,6.435294117647059,6.450800915331808,1.5815881003478132
0.18,11,-,-,1.2950728506284062
0.19,10,-,-,2.49079412311698
0.19,11,-,-,1.220994088635489
0.195,10,-,-,1.2248340333288172
0.2,10,2.5271966527196654,2.4865900383141764,5.360202931228861
0.2,12,-,-,1.2251095281094277
0.2,15,1.2631631564916022,2.4506880308593897,1.424706943192065
0.2,20,1.225709864082896,1.5130040960404942,1.6990446389933758
0.25,15,2.3811074918566777,2.4444444444444446,1.356691127418279
0.25,20,1.2469515427844342,1.2425047841803105,1.2781337980962595
0.25,25,1.2867400670177118,1.281659040119187,-
0.3,15,2.265993265993266,2.25,2.3544303797468356
0.3,19,-,-,2.6848
0.3,20,1.3861459100957996,2.4700374531835205,2.6564417177914113
0.3,21,-,-,1.4612355946824747
0.3,25,1.3880755686474275,1.2561051554646145,1.261817052061604
