task_prob,max_delay,quantum_avg_dropped,classical_avg_dropped,hamiltonian_avg_dropped
0.1,10,6.652032195835828e-05,0.0,0.0
0.1,15,0.0,0.0,0.0
0.1,20,0.0,0.0,0.0
0.15,10,0.0,0.018235475487820993,0.0
0.15,15,0.0,0.0,0.0
0.15,20,0.0,0.0,0.0
0.18,10,0.9082005064799642,0.9837256070311337,3.7000037000037e-05
0.18,11,-,-,0.0005928341176034681
0.19,10,-,-,0.8128827951002228
0.19,11,-,-,0.0
0.195,10,-,-,0.0
0.2,10,0.991995445106839,0.9912186259336518,0.9411061682491202
0.2,12,-,-,0.0
0.2,15,0.0,0.1008504252126063,0.0
0.2,20,0.0,0.0,0.0
0.25,15,0.9918314131389192,0.9925552353506244,0.0
0.25,20,0.0,0.0,0.0
0.25,25,0.0,0.0,-
0.3,15,0.9933718672588097,0.9933394018782886,0.99297543625653
0.3,19,-,-,0.98614774263614
0.3,20,0.6406329309469688,0.9882056718791412,0.992737479950098
0.3,21,-,-,0.0
0.3,25,0.0,0.0,0.0
