task_prob,max_delay,quantum_avg_energy,classical_avg_energy,hamiltonian_avg_energy
0.1,10,0.09193549154876304,0.10546409038351273,0.12934286181420865
0.1,15,0.10535902675719191,0.11537680712913753,0.0992009519586705
0.1,20,0.13033913137801398,0.11278340677326885,0.10464613937174799
0.15,10,0.1296644444444219,0.1068869736737842,0.1308451914034117
0.15,15,0.10181399742984726,0.11680036149984475,0.1302256948233856
0.15,20,0.10663689687183947,0.12123936993048633,0.10671820009419034
0.18,10,1.4985086116478579,1.2966105869074707,0.09430992687392983
0.18,11,-,-,0.10535070023919484
0.19,10,-,-,0.012365836030314504
0.19,11,-,-,0.13212140305615078
0.195,10,-,-,0.1314698184850219
0.2,10,0.02491595660257812,0.024692076513587582,0.015690280214896383
0.2,12,-,-,0.13142054120228258
0.2,15,0.11083433532208835,0.1156138212181368,0.11965645039869542
0.2,20,0.13194210665375017,0.11130402612484437,0.11695238187727934
0.25,15,0.025040662819555616,0.0255416603768803,0.10362128847820601
0.25,20,0.13104710510165168,0.1321449565178189,0.11309001269584021
0.25,25,0.10897158115326168,0.10735796947082235,-
0.3,15,0.02521852129330247,0.023741917086261655,0.028219323802734696
0.3,19,-,-,0.019213069228306283
0.3,20,0.15002918549250294,0.02784572414137578,0.024694859301289028
0.3,21,-,-,0.12252010224185755
0.3,25,0.1118715689287187,0.1320027034674616,0.1321956860148116
