task_prob,max_delay,quantum_avg_rewards,classical_avg_rewards,hamiltonian_avg_rewards
0.1,10,-0.7486521089922505,-0.6584220123521343,-0.6623974911898464
0.1,15,-0.6734733011266546,-0.6535619476577468,-0.6777256832211949
0.1,20,-0.661827730622628,-0.6885536338936563,-0.6736581921280074
0.15,10,-0.670953224968247,-1.2465622110781611,-0.6692142549424829
0.15,15,-0.692279140087065,-0.6618947442650683,-0.669924302409914
0.15,20,-0.6796712743389172,-0.6645375378584607,-0.6621527368124509
0.18,10,-19.268830082802396,-19.903314313890753,-0.8386580102063645
0.18,11,-,-,-0.7128390165910521
0.19,10,-,-,-16.491848049490795
0.19,11,-,-,-0.67655774584582
0.195,10,-,-,-0.6781519259069194
0.2,10,-19.850123164874205,-19.835398772491253,-18.980426840135134
0.2,12,-,-,-0.6782650346558552
0.2,15,-0.6869987459068452,-4.179257365913993,-0.7721816967953802
0.2,20,-0.6788259853683231,-0.8121540610826693,-0.9079985104353276
0.25,15,-29.76476980926863,-29.785851293137547,-0.7301562079482424
0.25,20,-0.688999323943043,-0.6873248703490646,-0.69561190539605
0.25,25,-0.6978558240854867,-0.6945085047950047,-
0.3,15,-29.808749245696447,-29.807754296919764,-29.797631625056372
0.3,19,-,-,-37.49234256264842
0.3,20,-25.901342608705665,-39.54295730206612,-39.71923510207775
0.3,21,-,-,-0.7918778484621661
0.3,25,-0.7499735687880732,-0.694053929466038,-0.6970063690382078
